State,Year,Quarter,District,Registered_users
Kerala,2023,1,Palakkad,747944
Kerala,2023,1,Alappuzha,649660
Kerala,2023,1,Kottayam,611048
Kerala,2023,2,Ernakulam,1826879
Kerala,2023,2,Thiruvananthapuram,1241042
Kerala,2023,2,Kozhikode,1102669
Kerala,2023,2,Malappuram,1082848
Kerala,2023,2,Thrissur,963142
Kerala,2023,2,Kannur,798378
Kerala,2023,2,Kollam,786161
Kerala,2023,2,Palakkad,777224
Kerala,2023,2,Alappuzha,675625
Kerala,2023,2,Kottayam,635322
Kerala,2023,3,Ernakulam,1897604
Kerala,2023,3,Thiruvananthapuram,1288756
Kerala,2023,3,Kozhikode,1142968
Kerala,2023,3,Malappuram,1122286
Kerala,2023,3,Thrissur,1000321
Kerala,2023,3,Kannur,828310
Kerala,2023,3,Kollam,817493
Kerala,2023,3,Palakkad,807530
Kerala,2023,3,Alappuzha,702662
Kerala,2023,3,Kottayam,660585
Kerala,2023,4,Ernakulam,1964544
Kerala,2023,4,Thiruvananthapuram,1334950
Kerala,2023,4,Kozhikode,1181172
Kerala,2023,4,Malappuram,1160238
Kerala,2023,4,Thrissur,1036542
Kerala,2023,4,Kannur,857051
Kerala,2023,4,Kollam,847768
Kerala,2023,4,Palakkad,836952
Kerala,2023,4,Alappuzha,728812
Kerala,2023,4,Kottayam,685268
Kerala,2024,1,Ernakulam,2040327
Kerala,2024,1,Thiruvananthapuram,1385762
Kerala,2024,1,Kozhikode,1225291
Kerala,2024,1,Malappuram,1204103
Kerala,2024,1,Thrissur,1077037
Kerala,2024,1,Kannur,889736
Kerala,2024,1,Kollam,881620
Kerala,2024,1,Palakkad,869821
Kerala,2024,1,Alappuzha,758068
Kerala,2024,1,Kottayam,712753
Ladakh,2018,1,Leh Ladakh,7255
Ladakh,2018,1,Kargil,1529
Ladakh,2018,2,Leh Ladakh,10733
Ladakh,2018,2,Kargil,2185
Ladakh,2018,3,Leh Ladakh,14617
Ladakh,2018,3,Kargil,3132
Ladakh,2018,4,Leh Ladakh,19447
Ladakh,2018,4,Kargil,4436
Ladakh,2019,1,Leh Ladakh,23891
Ladakh,2019,1,Kargil,5758
Ladakh,2019,2,Leh Ladakh,28390
Ladakh,2019,2,Kargil,7126
Ladakh,2019,3,Leh Ladakh,31455
Ladakh,2019,3,Kargil,7718
Ladakh,2019,4,Leh Ladakh,34770
Ladakh,2019,4,Kargil,8338
Ladakh,2020,1,Leh Ladakh,38079
Ladakh,2020,1,Kargil,9711
Ladakh,2020,2,Leh Ladakh,41782
Ladakh,2020,2,Kargil,11252
Ladakh,2020,3,Leh Ladakh,45587
Ladakh,2020,3,Kargil,12814
Ladakh,2020,4,Leh Ladakh,50252
Ladakh,2020,4,Kargil,14601
Ladakh,2021,1,Leh Ladakh,54095
Ladakh,2021,1,Kargil,15824
Ladakh,2021,2,Leh Ladakh,57971
Ladakh,2021,2,Kargil,17077
Ladakh,2021,3,Leh Ladakh,62633
Ladakh,2021,3,Kargil,18577
Ladakh,2021,4,Leh Ladakh,67049
Ladakh,2021,4,Kargil,20008
Ladakh,2022,1,Leh Ladakh,71173
Ladakh,2022,1,Kargil,21319
Ladakh,2022,2,Leh Ladakh,75042
Ladakh,2022,2,Kargil,22475
Ladakh,2022,3,Leh Ladakh,78769
Ladakh,2022,3,Kargil,23530
Ladakh,2022,4,Leh Ladakh,82011
Ladakh,2022,4,Kargil,24326
Ladakh,2023,1,Leh Ladakh,85582
Ladakh,2023,1,Kargil,25409
Ladakh,2023,2,Leh Ladakh,89148
Ladakh,2023,2,Kargil,26588
Ladakh,2023,3,Leh Ladakh,92688
Ladakh,2023,3,Kargil,27747
Ladakh,2023,4,Leh Ladakh,96066
Ladakh,2023,4,Kargil,28762
Ladakh,2024,1,Leh Ladakh,99940
Ladakh,2024,1,Kargil,30130
Lakshadweep,2018,1,Lakshadweep,501
Lakshadweep,2018,2,Lakshadweep,686
Lakshadweep,2018,3,Lakshadweep,918
Lakshadweep,2018,4,Lakshadweep,1156
Lakshadweep,2019,1,Lakshadweep,1416
Lakshadweep,2019,2,Lakshadweep,1747
Lakshadweep,2019,3,Lakshadweep,2117
Lakshadweep,2019,4,Lakshadweep,2427
Lakshadweep,2020,1,Lakshadweep,2772
Lakshadweep,2020,2,Lakshadweep,3187
Lakshadweep,2020,3,Lakshadweep,3644
Lakshadweep,2020,4,Lakshadweep,4179
Lakshadweep,2021,1,Lakshadweep,4577
Lakshadweep,2021,2,Lakshadweep,4896
Lakshadweep,2021,3,Lakshadweep,5287
Lakshadweep,2021,4,Lakshadweep,5638
Lakshadweep,2022,1,Lakshadweep,5990
Lakshadweep,2022,2,Lakshadweep,6327
Lakshadweep,2022,3,Lakshadweep,6645
Lakshadweep,2022,4,Lakshadweep,6961
Lakshadweep,2023,1,Lakshadweep,7267
Lakshadweep,2023,2,Lakshadweep,7585
Lakshadweep,2023,3,Lakshadweep,7912
Lakshadweep,2023,4,Lakshadweep,8225
Lakshadweep,2024,1,Lakshadweep,8578
Madhya Pradesh,2018,1,Indore,366977
Madhya Pradesh,2018,1,Bhopal,307312
Madhya Pradesh,2018,1,Gwalior,142453
Madhya Pradesh,2018,1,Jabalpur,115953
Madhya Pradesh,2018,1,Ujjain,84441
Madhya Pradesh,2018,1,Rewa,73336
Madhya Pradesh,2018,1,Sagar,72857
Madhya Pradesh,2018,1,Chhindwara,65005
Madhya Pradesh,2018,1,Dhar,63440
Madhya Pradesh,2018,1,Dewas,62902
Madhya Pradesh,2018,2,Indore,479904
Madhya Pradesh,2018,2,Bhopal,398498
Madhya Pradesh,2018,2,Gwalior,193605
Madhya Pradesh,2018,2,Jabalpur,155624
Madhya Pradesh,2018,2,Ujjain,113216
Madhya Pradesh,2018,2,Rewa,100661
Madhya Pradesh,2018,2,Sagar,100623
Madhya Pradesh,2018,2,Chhindwara,87704
Madhya Pradesh,2018,2,Dhar,86280
Madhya Pradesh,2018,2,Dewas,84342
Madhya Pradesh,2018,3,Indore,585621
Madhya Pradesh,2018,3,Bhopal,474192
Madhya Pradesh,2018,3,Gwalior,236305
Madhya Pradesh,2018,3,Jabalpur,193535
Madhya Pradesh,2018,3,Ujjain,143770
Madhya Pradesh,2018,3,Sagar,128283
Madhya Pradesh,2018,3,Rewa,125803
Madhya Pradesh,2018,3,Dhar,110726
Madhya Pradesh,2018,3,Chhindwara,109266
Madhya Pradesh,2018,3,Dewas,105774
Madhya Pradesh,2018,4,Indore,712479
Madhya Pradesh,2018,4,Bhopal,571518
Madhya Pradesh,2018,4,Gwalior,284894
Madhya Pradesh,2018,4,Jabalpur,248495
Madhya Pradesh,2018,4,Ujjain,177894
Madhya Pradesh,2018,4,Sagar,162788
Madhya Pradesh,2018,4,Rewa,160024
Madhya Pradesh,2018,4,Chhindwara,139301
Madhya Pradesh,2018,4,Dhar,137501
Madhya Pradesh,2018,4,Satna,133865
Madhya Pradesh,2019,1,Indore,844465
Madhya Pradesh,2019,1,Bhopal,670417
Madhya Pradesh,2019,1,Gwalior,331504
Madhya Pradesh,2019,1,Jabalpur,295042
Madhya Pradesh,2019,1,Ujjain,214818
Madhya Pradesh,2019,1,Sagar,194467
Madhya Pradesh,2019,1,Rewa,188803
Madhya Pradesh,2019,1,Chhindwara,168633
Madhya Pradesh,2019,1,Dhar,166663
Madhya Pradesh,2019,1,Satna,160954
Madhya Pradesh,2019,2,Indore,955207
Madhya Pradesh,2019,2,Bhopal,756839
Madhya Pradesh,2019,2,Gwalior,373367
Madhya Pradesh,2019,2,Jabalpur,336963
Madhya Pradesh,2019,2,Ujjain,247033
Madhya Pradesh,2019,2,Sagar,219328
Madhya Pradesh,2019,2,Rewa,211420
Madhya Pradesh,2019,2,Chhindwara,192226
Madhya Pradesh,2019,2,Dhar,190659
Madhya Pradesh,2019,2,Satna,182176
Madhya Pradesh,2019,3,Indore,1071598
Madhya Pradesh,2019,3,Bhopal,846170
Madhya Pradesh,2019,3,Gwalior,417846
Madhya Pradesh,2019,3,Jabalpur,380209
Madhya Pradesh,2019,3,Ujjain,280589
Madhya Pradesh,2019,3,Sagar,243729
Madhya Pradesh,2019,3,Rewa,232367
Madhya Pradesh,2019,3,Chhindwara,214945
Madhya Pradesh,2019,3,Dhar,214712
Madhya Pradesh,2019,3,Satna,203019
Madhya Pradesh,2019,4,Indore,1181500
Madhya Pradesh,2019,4,Bhopal,926576
Madhya Pradesh,2019,4,Gwalior,461960
Madhya Pradesh,2019,4,Jabalpur,422786
Madhya Pradesh,2019,4,Ujjain,314250
Madhya Pradesh,2019,4,Sagar,272650
Madhya Pradesh,2019,4,Rewa,260351
Madhya Pradesh,2019,4,Dhar,242108
Madhya Pradesh,2019,4,Chhindwara,240962
Madhya Pradesh,2019,4,Satna,228680
Madhya Pradesh,2020,1,Indore,1287857
Madhya Pradesh,2020,1,Bhopal,1003288
Madhya Pradesh,2020,1,Gwalior,506221
Madhya Pradesh,2020,1,Jabalpur,462069
Madhya Pradesh,2020,1,Ujjain,349476
Madhya Pradesh,2020,1,Sagar,299753
Madhya Pradesh,2020,1,Rewa,285832
Madhya Pradesh,2020,1,Dhar,270891
Madhya Pradesh,2020,1,Chhindwara,268008
Madhya Pradesh,2020,1,Satna,253988
Madhya Pradesh,2020,2,Indore,1410157
Madhya Pradesh,2020,2,Bhopal,1080094
Madhya Pradesh,2020,2,Gwalior,554377
Madhya Pradesh,2020,2,Jabalpur,507707
Madhya Pradesh,2020,2,Ujjain,395028
Madhya Pradesh,2020,2,Sagar,333878
Madhya Pradesh,2020,2,Rewa,313486
Madhya Pradesh,2020,2,Dhar,310389
Madhya Pradesh,2020,2,Chhindwara,302791
Madhya Pradesh,2020,2,Satna,281414
Madhya Pradesh,2020,3,Indore,1524036
Madhya Pradesh,2020,3,Bhopal,1162000
Madhya Pradesh,2020,3,Gwalior,603096
Madhya Pradesh,2020,3,Jabalpur,555235
Madhya Pradesh,2020,3,Ujjain,436068
Madhya Pradesh,2020,3,Sagar,368745
Madhya Pradesh,2020,3,Dhar,346394
Madhya Pradesh,2020,3,Rewa,343897
Madhya Pradesh,2020,3,Chhindwara,336306
Madhya Pradesh,2020,3,Satna,311884
Madhya Pradesh,2020,4,Indore,1645564
Madhya Pradesh,2020,4,Bhopal,1249343
Madhya Pradesh,2020,4,Gwalior,652985
Madhya Pradesh,2020,4,Jabalpur,604034
Madhya Pradesh,2020,4,Ujjain,475637
Madhya Pradesh,2020,4,Sagar,402006
Madhya Pradesh,2020,4,Dhar,382523
Madhya Pradesh,2020,4,Rewa,374099
Madhya Pradesh,2020,4,Chhindwara,370027
Madhya Pradesh,2020,4,Satna,340632
Madhya Pradesh,2021,1,Indore,1769869
Madhya Pradesh,2021,1,Bhopal,1340741
Madhya Pradesh,2021,1,Gwalior,703232
Madhya Pradesh,2021,1,Jabalpur,650087
Madhya Pradesh,2021,1,Ujjain,513868
Madhya Pradesh,2021,1,Sagar,432938
Madhya Pradesh,2021,1,Dhar,415117
Madhya Pradesh,2021,1,Rewa,403013
Madhya Pradesh,2021,1,Chhindwara,399276
Madhya Pradesh,2021,1,Satna,368299
Madhya Pradesh,2021,2,Indore,1892259
Madhya Pradesh,2021,2,Bhopal,1431127
Madhya Pradesh,2021,2,Gwalior,753172
Madhya Pradesh,2021,2,Jabalpur,695130
Madhya Pradesh,2021,2,Ujjain,552204
Madhya Pradesh,2021,2,Sagar,464791
Madhya Pradesh,2021,2,Dhar,447074
Madhya Pradesh,2021,2,Rewa,432682
Madhya Pradesh,2021,2,Chhindwara,428800
Madhya Pradesh,2021,2,Satna,395440
Madhya Pradesh,2021,3,Indore,2028266
Madhya Pradesh,2021,3,Bhopal,1531544
Madhya Pradesh,2021,3,Gwalior,809887
Madhya Pradesh,2021,3,Jabalpur,745631
Madhya Pradesh,2021,3,Ujjain,596195
Madhya Pradesh,2021,3,Sagar,501819
Madhya Pradesh,2021,3,Dhar,483901
Madhya Pradesh,2021,3,Rewa,466895
Madhya Pradesh,2021,3,Chhindwara,462834
Madhya Pradesh,2021,3,Satna,426929
Madhya Pradesh,2021,4,Indore,2164101
Madhya Pradesh,2021,4,Bhopal,1633266
Madhya Pradesh,2021,4,Gwalior,866561
Madhya Pradesh,2021,4,Jabalpur,796148
Madhya Pradesh,2021,4,Ujjain,639197
Madhya Pradesh,2021,4,Sagar,538447
Madhya Pradesh,2021,4,Dhar,519970
Madhya Pradesh,2021,4,Rewa,500513
Madhya Pradesh,2021,4,Chhindwara,495990
Madhya Pradesh,2021,4,Satna,457858
Madhya Pradesh,2022,1,Indore,2291709
Madhya Pradesh,2022,1,Bhopal,1729248
Madhya Pradesh,2022,1,Gwalior,919789
Madhya Pradesh,2022,1,Jabalpur,844191
Madhya Pradesh,2022,1,Ujjain,680599
Madhya Pradesh,2022,1,Sagar,573791
Madhya Pradesh,2022,1,Dhar,554545
Madhya Pradesh,2022,1,Rewa,533627
Madhya Pradesh,2022,1,Chhindwara,528140
Madhya Pradesh,2022,1,Satna,488378
Madhya Pradesh,2022,2,Indore,2412576
Madhya Pradesh,2022,2,Bhopal,1820625
Madhya Pradesh,2022,2,Gwalior,970340
Madhya Pradesh,2022,2,Jabalpur,889518
Madhya Pradesh,2022,2,Ujjain,719339
Madhya Pradesh,2022,2,Sagar,605733
Madhya Pradesh,2022,2,Dhar,586670
Madhya Pradesh,2022,2,Rewa,564327
Madhya Pradesh,2022,2,Chhindwara,557958
Madhya Pradesh,2022,2,Satna,516107
Madhya Pradesh,2022,3,Indore,2537328
Madhya Pradesh,2022,3,Bhopal,1915532
Madhya Pradesh,2022,3,Gwalior,1022539
Madhya Pradesh,2022,3,Jabalpur,935649
Madhya Pradesh,2022,3,Ujjain,758373
Madhya Pradesh,2022,3,Sagar,638100
Madhya Pradesh,2022,3,Dhar,618777
Madhya Pradesh,2022,3,Rewa,594588
Madhya Pradesh,2022,3,Chhindwara,587412
Madhya Pradesh,2022,3,Satna,544011
Madhya Pradesh,2022,4,Indore,2660518
Madhya Pradesh,2022,4,Bhopal,2009655
Madhya Pradesh,2022,4,Gwalior,1073648
Madhya Pradesh,2022,4,Jabalpur,980428
Madhya Pradesh,2022,4,Ujjain,794711
Madhya Pradesh,2022,4,Sagar,667526
Madhya Pradesh,2022,4,Dhar,648535
Madhya Pradesh,2022,4,Rewa,622122
Madhya Pradesh,2022,4,Chhindwara,613456
Madhya Pradesh,2022,4,Satna,569320
Madhya Pradesh,2023,1,Indore,2780295
Madhya Pradesh,2023,1,Bhopal,2101098
Madhya Pradesh,2023,1,Gwalior,1123707
Madhya Pradesh,2023,1,Jabalpur,1025803
Madhya Pradesh,2023,1,Ujjain,832451
Madhya Pradesh,2023,1,Sagar,699722
Madhya Pradesh,2023,1,Dhar,679569
Madhya Pradesh,2023,1,Rewa,651354
Madhya Pradesh,2023,1,Chhindwara,642022
Madhya Pradesh,2023,1,Satna,596769
Madhya Pradesh,2023,2,Indore,2883610
Madhya Pradesh,2023,2,Bhopal,2179557
Madhya Pradesh,2023,2,Gwalior,1168513
Madhya Pradesh,2023,2,Jabalpur,1065846
Madhya Pradesh,2023,2,Ujjain,868546
Madhya Pradesh,2023,2,Sagar,730094
Madhya Pradesh,2023,2,Dhar,710181
Madhya Pradesh,2023,2,Rewa,680100
Madhya Pradesh,2023,2,Chhindwara,670155
Madhya Pradesh,2023,2,Satna,623076
Madhya Pradesh,2023,3,Indore,2996261
Madhya Pradesh,2023,3,Bhopal,2265685
Madhya Pradesh,2023,3,Gwalior,1215484
Madhya Pradesh,2023,3,Jabalpur,1108465
Madhya Pradesh,2023,3,Ujjain,905474
Madhya Pradesh,2023,3,Sagar,761623
Madhya Pradesh,2023,3,Dhar,740878
Madhya Pradesh,2023,3,Rewa,708385
Madhya Pradesh,2023,3,Chhindwara,698604
Madhya Pradesh,2023,3,Satna,649398
Madhya Pradesh,2023,4,Indore,3098089
Madhya Pradesh,2023,4,Bhopal,2344171
Madhya Pradesh,2023,4,Gwalior,1257720
Madhya Pradesh,2023,4,Jabalpur,1147811
Madhya Pradesh,2023,4,Ujjain,938748
Madhya Pradesh,2023,4,Sagar,790240
Madhya Pradesh,2023,4,Dhar,768839
Madhya Pradesh,2023,4,Rewa,734299
Madhya Pradesh,2023,4,Chhindwara,724870
Madhya Pradesh,2023,4,Satna,673980
Madhya Pradesh,2024,1,Indore,3217251
Madhya Pradesh,2024,1,Bhopal,2436143
Madhya Pradesh,2024,1,Gwalior,1307564
Madhya Pradesh,2024,1,Jabalpur,1193636
Madhya Pradesh,2024,1,Ujjain,978177
Madhya Pradesh,2024,1,Sagar,824727
Madhya Pradesh,2024,1,Dhar,802038
Madhya Pradesh,2024,1,Rewa,764984
Madhya Pradesh,2024,1,Chhindwara,756689
Madhya Pradesh,2024,1,Satna,703168
Maharashtra,2018,1,Pune,1211643
Maharashtra,2018,1,Mumbai Suburban,719300
Maharashtra,2018,1,Thane,631864
Maharashtra,2018,1,Nashik,321402
Maharashtra,2018,1,Nagpur,280007
Maharashtra,2018,1,Aurangabad,266324
Maharashtra,2018,1,Mumbai,233538
Maharashtra,2018,1,Ahmednagar,197473
Maharashtra,2018,1,Solapur,190033
Maharashtra,2018,1,Raigad,173015
Maharashtra,2018,2,Pune,1592293
Maharashtra,2018,2,Mumbai Suburban,957633
Maharashtra,2018,2,Thane,861292
Maharashtra,2018,2,Nashik,436668
Maharashtra,2018,2,Nagpur,380425
Maharashtra,2018,2,Aurangabad,347838
Maharashtra,2018,2,Mumbai,319588
Maharashtra,2018,2,Ahmednagar,268520
Maharashtra,2018,2,Solapur,259084
Maharashtra,2018,2,Palghar,239053
Maharashtra,2018,3,Pune,1974138
Maharashtra,2018,3,Mumbai Suburban,1218632
Maharashtra,2018,3,Thane,1104206
Maharashtra,2018,3,Nashik,552556
Maharashtra,2018,3,Nagpur,487280
Maharashtra,2018,3,Aurangabad,428394
Maharashtra,2018,3,Mumbai,410878
Maharashtra,2018,3,Ahmednagar,344804
Maharashtra,2018,3,Solapur,331428
Maharashtra,2018,3,Palghar,312322
Maharashtra,2018,4,Pune,2498852
Maharashtra,2018,4,Mumbai Suburban,1578487
Maharashtra,2018,4,Thane,1473811
Maharashtra,2018,4,Nashik,698343
Maharashtra,2018,4,Nagpur,627317
Maharashtra,2018,4,Mumbai,543353
Maharashtra,2018,4,Aurangabad,534477
Maharashtra,2018,4,Ahmednagar,439246
Maharashtra,2018,4,Solapur,419060
Maharashtra,2018,4,Palghar,414825
Maharashtra,2019,1,Pune,3038402
Maharashtra,2019,1,Mumbai Suburban,1901210
Maharashtra,2019,1,Thane,1834051
Maharashtra,2019,1,Nashik,853648
Maharashtra,2019,1,Nagpur,765612
Maharashtra,2019,1,Mumbai,670094
Maharashtra,2019,1,Aurangabad,644687
Maharashtra,2019,1,Ahmednagar,532651
Maharashtra,2019,1,Palghar,521918
Maharashtra,2019,1,Raigad,509108
Maharashtra,2019,2,Pune,3514081
Maharashtra,2019,2,Mumbai Suburban,2151657
Maharashtra,2019,2,Thane,2118406
Maharashtra,2019,2,Nashik,995687
Maharashtra,2019,2,Nagpur,887042
Maharashtra,2019,2,Mumbai,785480
Maharashtra,2019,2,Aurangabad,736863
Maharashtra,2019,2,Ahmednagar,614812
Maharashtra,2019,2,Palghar,608184
Maharashtra,2019,2,Raigad,594675
Maharashtra,2019,3,Pune,4004991
Maharashtra,2019,3,Mumbai Suburban,2407754
Maharashtra,2019,3,Thane,2396815
Maharashtra,2019,3,Nashik,1155897
Maharashtra,2019,3,Nagpur,1015333
Maharashtra,2019,3,Mumbai,889541
Maharashtra,2019,3,Aurangabad,841802
Maharashtra,2019,3,Ahmednagar,705492
Maharashtra,2019,3,Palghar,691229
Maharashtra,2019,3,Raigad,679155
Maharashtra,2019,4,Pune,4416899
Maharashtra,2019,4,Thane,2638051
Maharashtra,2019,4,Mumbai Suburban,2630360
Maharashtra,2019,4,Nashik,1304611
Maharashtra,2019,4,Nagpur,1134480
Maharashtra,2019,4,Mumbai,973018
Maharashtra,2019,4,Aurangabad,947081
Maharashtra,2019,4,Ahmednagar,805271
Maharashtra,2019,4,Palghar,767925
Maharashtra,2019,4,Raigad,754910
Maharashtra,2020,1,Pune,4802397
Maharashtra,2020,1,Thane,2878073
Maharashtra,2020,1,Mumbai Suburban,2843378
Maharashtra,2020,1,Nashik,1448324
Maharashtra,2020,1,Nagpur,1251510
Maharashtra,2020,1,Mumbai,1054509
Maharashtra,2020,1,Aurangabad,1046306
Maharashtra,2020,1,Ahmednagar,905962
Maharashtra,2020,1,Palghar,848560
Maharashtra,2020,1,Raigad,830643
Maharashtra,2020,2,Pune,5144688
Maharashtra,2020,2,Thane,3135101
Maharashtra,2020,2,Mumbai Suburban,3060916
Maharashtra,2020,2,Nashik,1602650
Maharashtra,2020,2,Nagpur,1377642
Maharashtra,2020,2,Aurangabad,1142730
Maharashtra,2020,2,Mumbai,1141566
Maharashtra,2020,2,Ahmednagar,1014520
Maharashtra,2020,2,Palghar,947121
Maharashtra,2020,2,Solapur,918756
Maharashtra,2020,3,Pune,5546002
Maharashtra,2020,3,Thane,3401853
Maharashtra,2020,3,Mumbai Suburban,3304696
Maharashtra,2020,3,Nashik,1752191
Maharashtra,2020,3,Nagpur,1502777
Maharashtra,2020,3,Aurangabad,1244879
Maharashtra,2020,3,Mumbai,1234355
Maharashtra,2020,3,Ahmednagar,1123648
Maharashtra,2020,3,Palghar,1034468
Maharashtra,2020,3,Solapur,1012518
Maharashtra,2020,4,Pune,6033615
Maharashtra,2020,4,Thane,3727358
Maharashtra,2020,4,Mumbai Suburban,3609970
Maharashtra,2020,4,Nashik,1907318
Maharashtra,2020,4,Nagpur,1637270
Maharashtra,2020,4,Aurangabad,1355656
Maharashtra,2020,4,Mumbai,1347356
Maharashtra,2020,4,Ahmednagar,1237321
Maharashtra,2020,4,Palghar,1136061
Maharashtra,2020,4,Solapur,1113260
Maharashtra,2021,1,Pune,6481971
Maharashtra,2021,1,Thane,4014464
Maharashtra,2021,1,Mumbai Suburban,3886500
Maharashtra,2021,1,Nashik,2049293
Maharashtra,2021,1,Nagpur,1761562
Maharashtra,2021,1,Aurangabad,1456891
Maharashtra,2021,1,Mumbai,1450548
Maharashtra,2021,1,Ahmednagar,1333477
Maharashtra,2021,1,Palghar,1225423
Maharashtra,2021,1,Solapur,1199130
Maharashtra,2021,2,Pune,6915820
Maharashtra,2021,2,Thane,4290066
Maharashtra,2021,2,Mumbai Suburban,4151227
Maharashtra,2021,2,Nashik,2191882
Maharashtra,2021,2,Nagpur,1883447
Maharashtra,2021,2,Aurangabad,1557693
Maharashtra,2021,2,Mumbai,1549784
Maharashtra,2021,2,Ahmednagar,1429562
Maharashtra,2021,2,Palghar,1312388
Maharashtra,2021,2,Solapur,1283601
Maharashtra,2021,3,Pune,7398336
Maharashtra,2021,3,Thane,4597394
Maharashtra,2021,3,Mumbai Suburban,4444495
Maharashtra,2021,3,Nashik,2352259
Maharashtra,2021,3,Nagpur,2020264
Maharashtra,2021,3,Aurangabad,1671665
Maharashtra,2021,3,Mumbai,1659663
Maharashtra,2021,3,Ahmednagar,1539300
Maharashtra,2021,3,Palghar,1410321
Maharashtra,2021,3,Solapur,1380100
Maharashtra,2021,4,Pune,7880431
Maharashtra,2021,4,Thane,4906492
Maharashtra,2021,4,Mumbai Suburban,4740546
Maharashtra,2021,4,Nashik,2510393
Maharashtra,2021,4,Nagpur,2157149
Maharashtra,2021,4,Aurangabad,1786190
Maharashtra,2021,4,Mumbai,1770325
Maharashtra,2021,4,Ahmednagar,1646991
Maharashtra,2021,4,Palghar,1508500
Maharashtra,2021,4,Solapur,1475291
Maharashtra,2022,1,Pune,8331582
Maharashtra,2022,1,Thane,5196050
Maharashtra,2022,1,Mumbai Suburban,5017556
Maharashtra,2022,1,Nashik,2661739
Maharashtra,2022,1,Nagpur,2286011
Maharashtra,2022,1,Aurangabad,1894797
Maharashtra,2022,1,Mumbai,1873643
Maharashtra,2022,1,Ahmednagar,1749682
Maharashtra,2022,1,Palghar,1601518
Maharashtra,2022,1,Solapur,1565902
Maharashtra,2022,2,Pune,8757249
Maharashtra,2022,2,Thane,5471749
Maharashtra,2022,2,Mumbai Suburban,5281053
Maharashtra,2022,2,Nashik,2803471
Maharashtra,2022,2,Nagpur,2407812
Maharashtra,2022,2,Aurangabad,1996927
Maharashtra,2022,2,Mumbai,1972178
Maharashtra,2022,2,Ahmednagar,1844168
Maharashtra,2022,2,Palghar,1689875
Maharashtra,2022,2,Solapur,1649511
Maharashtra,2022,3,Pune,9194074
Maharashtra,2022,3,Thane,5757165
Maharashtra,2022,3,Mumbai Suburban,5555095
Maharashtra,2022,3,Nashik,2948824
Maharashtra,2022,3,Nagpur,2532986
Maharashtra,2022,3,Aurangabad,2101234
Maharashtra,2022,3,Mumbai,2074701
Maharashtra,2022,3,Ahmednagar,1940071
Maharashtra,2022,3,Palghar,1781265
Maharashtra,2022,3,Solapur,1733556
Maharashtra,2022,4,Pune,9622338
Maharashtra,2022,4,Thane,6042267
Maharashtra,2022,4,Mumbai Suburban,5831539
Maharashtra,2022,4,Nashik,3086721
Maharashtra,2022,4,Nagpur,2655029
Maharashtra,2022,4,Aurangabad,2201353
Maharashtra,2022,4,Mumbai,2178155
Maharashtra,2022,4,Ahmednagar,2027819
Maharashtra,2022,4,Palghar,1870957
Maharashtra,2022,4,Solapur,1811044
Maharashtra,2023,1,Pune,10037022
Maharashtra,2023,1,Thane,6314618
Maharashtra,2023,1,Mumbai Suburban,6095695
Maharashtra,2023,1,Nashik,3223873
Maharashtra,2023,1,Nagpur,2775157
Maharashtra,2023,1,Aurangabad,2300283
Maharashtra,2023,1,Mumbai,2276888
Maharashtra,2023,1,Ahmednagar,2119506
Maharashtra,2023,1,Palghar,1957628
Maharashtra,2023,1,Solapur,1892509
Maharashtra,2023,2,Pune,10396344
Maharashtra,2023,2,Thane,6552282
Maharashtra,2023,2,Mumbai Suburban,6322778
Maharashtra,2023,2,Nashik,3350410
Maharashtra,2023,2,Nagpur,2882255
Maharashtra,2023,2,Aurangabad,2390854
Maharashtra,2023,2,Mumbai,2361852
Maharashtra,2023,2,Ahmednagar,2208055
Maharashtra,2023,2,Palghar,2037722
Maharashtra,2023,2,Solapur,1970077
Maharashtra,2023,3,Pune,10780092
Maharashtra,2023,3,Thane,6802106
Maharashtra,2023,3,Mumbai Suburban,6560867
Maharashtra,2023,3,Nashik,3481028
Maharashtra,2023,3,Nagpur,2995471
Maharashtra,2023,3,Aurangabad,2485041
Maharashtra,2023,3,Mumbai,2450770
Maharashtra,2023,3,Ahmednagar,2297997
Maharashtra,2023,3,Palghar,2118552
Maharashtra,2023,3,Solapur,2050042
Maharashtra,2023,4,Pune,11135186
Maharashtra,2023,4,Thane,7044610
Maharashtra,2023,4,Mumbai Suburban,6796218
Maharashtra,2023,4,Nashik,3606029
Maharashtra,2023,4,Nagpur,3102070
Maharashtra,2023,4,Aurangabad,2575931
Maharashtra,2023,4,Mumbai,2537871
Maharashtra,2023,4,Ahmednagar,2381246
Maharashtra,2023,4,Palghar,2198589
Maharashtra,2023,4,Solapur,2124162
Maharashtra,2024,1,Pune,11546171
Maharashtra,2024,1,Thane,7314981
Maharashtra,2024,1,Mumbai Suburban,7055629
Maharashtra,2024,1,Nashik,3747440
Maharashtra,2024,1,Nagpur,3225345
Maharashtra,2024,1,Aurangabad,2679421
Maharashtra,2024,1,Mumbai,2634732
Maharashtra,2024,1,Ahmednagar,2477859
Maharashtra,2024,1,Palghar,2286819
Maharashtra,2024,1,Solapur,2209975
Manipur,2018,1,Imphal West,11304
Manipur,2018,1,Imphal East,6759
Manipur,2018,1,Thoubal,2764
Manipur,2018,1,Bishnupur,2371
Manipur,2018,1,Churachandpur,1524
